ZTF19acdtpow 0.075000 Ia
58806.5427083 2 19.2921 0.0996845
58804.5524074 2 19.1248 0.138029
58794.5363542 2 18.8631 0.0894469
58791.5123727 2 18.9581 0.08166
58788.5353009 2 18.6529 0.0923617
58785.5061574 2 18.4914 0.0836689
58776.5075116 2 18.3493 0.0829986
58770.4914236 2 18.5333 0.102764
58764.4916782 2 19.6148 0.152468
