ZTF20aanyxvu 0.040000 Ia
58955.2018519 2 19.3152 0.123249
58944.1542361 2 18.6307 0.0895979
58938.1660069 2 18.488 0.0710448
58915.1627431 2 17.6975 0.0604027
58912.1802431 2 17.6943 0.0477776
58909.1596296 2 17.8131 0.083444
58909.1164005 2 17.7932 0.0883516
58906.2035995 2 17.9803 0.05651
58903.1849306 2 18.2485 0.0600805
58903.178287 2 18.228 0.060016
58900.2180093 2 18.8147 0.0681612
58898.1608681 2 19.3985 0.127577
58898.1394097 2 19.3765 0.083693
