ZTF19adbnfne 0.060000 Ia
58891.1463194 2 19.1003 0.0990986
58887.1012384 2 18.8511 0.0935389
58885.1394792 2 18.8057 0.140989
58882.1306829 2 18.7202 0.0888994
58877.1375116 2 18.7117 0.0834565
58875.1026968 2 18.6444 0.071609
58874.1124769 2 18.6159 0.075206
58871.1080093 2 18.3698 0.0713267
58871.10125 2 18.3729 0.0615952
58867.0880787 2 18.1479 0.0814629
58861.1560532 2 17.9808 0.0530666
58860.1544329 2 18.0144 0.0546162
58859.2163079 2 17.9387 0.0540343
58859.1753241 2 18.0435 0.0613267
58849.1488426 2 19.0571 0.0759942
58846.1276852 2 19.9006 0.147982
