ZTF19abwnpus 0.050000 Ia
58788.2285185 2 19.595 0.189385
58785.2435532 2 19.7197 0.164553
58781.2427546 2 19.341 0.224203
58777.1909028 2 19.3532 0.180292
58774.193831 2 19.1687 0.124687
58771.2664583 2 19.2182 0.182216
58768.1914352 2 18.8117 0.160679
58757.2970833 2 18.695 0.0969903
58750.2761227 2 18.573 0.0723769
58747.2702315 2 18.5756 0.094234
58744.3613889 2 18.5996 0.0950802
58741.3373032 2 18.7718 0.173847
