ZTF19aayvylv 0.071000 Ia
58730.4250116 2 20.4268 0.207718
58727.4862963 2 20.3096 0.181322
58724.414375 2 20.468 0.200716
58718.4654282 2 20.0795 0.179275
58715.4424421 2 20.2779 0.246899
58706.4947454 2 19.8581 0.140255
58703.4526736 2 19.7716 0.132283
58700.4533449 2 19.5383 0.10872
58697.4333449 2 19.401 0.103456
58694.4107639 2 19.2326 0.0875104
58691.4245718 2 19.0861 0.0948699
58688.4337153 2 19.0959 0.0799036
58685.4486574 2 19.0018 0.0954937
58682.4273958 2 19.0396 0.121601
58679.4719213 2 18.857 0.08304
58676.4660417 2 18.8353 0.0912803
58673.4511806 2 18.6227 0.0692455
58670.4739468 2 18.481 0.0679705
58667.476331 2 18.2924 0.0732656
58657.4322106 2 18.3401 0.0850744
58654.4456944 2 18.4526 0.119364
58651.4377894 2 18.6231 0.153697
