ZTF20aaeoqqd 0.050000 II
58887.1833333 1 19.2628 0.317956
58881.1426042 1 19.4063 0.232079
58877.1847917 1 18.9542 0.161327
58874.1621065 1 18.738 0.10946
58871.1667477 1 18.4485 0.0968066
58867.1296412 1 18.2454 0.111598
58864.1453472 1 18.174 0.0584328
58862.1096528 1 18.1066 0.0669058
58859.0916667 1 18.1851 0.0779714
58856.1066435 1 18.673 0.104724
