ZTF19acnjwgm 0.034000 Ia
58880.1769097 2 19.6212 0.193254
58877.137963 2 19.6387 0.160344
58875.1017824 2 19.5699 0.151977
58874.1414583 2 19.6813 0.171356
58873.2048032 2 19.5975 0.115652
58871.0998727 2 19.6093 0.109088
58867.1084606 2 19.4576 0.202059
58863.1043981 2 19.2906 0.121201
58861.1551389 2 19.1955 0.124201
58860.1553935 2 19.2097 0.137527
58859.2167593 2 19.1575 0.13624
58859.1748611 2 19.2434 0.128783
58855.2070023 2 19.0868 0.13646
58852.1663079 2 18.8379 0.0879664
58849.1478819 2 18.7246 0.0924781
58846.1313542 2 18.642 0.0842646
58836.0987384 2 18.0164 0.069198
58833.2917477 2 17.9589 0.0669401
58833.1039005 2 17.8616 0.0520272
58831.0996296 2 17.8432 0.0576332
58830.2324421 2 17.9108 0.0607721
58829.2122801 2 17.6543 0.143417
58828.2095833 2 17.8633 0.0696652
58819.2568056 2 17.5726 0.064296
58814.2041088 2 17.1827 0.0401125
58814.1925116 2 17.1999 0.0491791
58812.2016088 2 17.0627 0.033181
58812.1911111 2 17.0533 0.047225
58811.3019792 2 17.0893 0.040268
58806.2443519 2 16.9609 0.0368419
58804.3523958 2 17.0152 0.0355034
58804.2276042 2 17.008 0.0452331
58803.2685648 2 17.1366 0.0502355
58801.281794 2 17.0964 0.0571351
58801.2786111 2 17.1101 0.0531585
58797.3300463 2 17.5666 0.0622188
58796.2955671 2 17.7469 0.0436717
58795.2949884 2 18.006 0.0596336
58794.296412 2 18.3044 0.0671329
58793.3681829 2 18.6085 0.0805407
58792.359537 2 18.9644 0.0958898
