ZTF20aaswbty 0.036900 II
58985.2895023 2 19.943 0.132647
58979.2984954 2 19.6895 0.182373
58973.3332407 2 19.8194 0.21563
58967.3529282 2 19.6677 0.16413
58964.2857176 2 19.662 0.141816
58961.4022685 2 19.4896 0.211333
58955.4210185 2 19.3748 0.143376
58954.4416551 2 19.1409 0.154262
58943.4643866 2 18.9961 0.121105
58939.4029514 2 19.0854 0.276707
58936.4569676 2 18.9891 0.0995736
58914.5062384 2 19.5205 0.134747
