ZTF19abgcbey 0.075000 Ia
58727.1345833 2 19.8895 0.201466
58712.2463079 2 19.0108 0.105408
58709.2686921 2 18.9012 0.119018
58703.1787037 2 18.8129 0.0925864
58700.1852083 2 18.5885 0.0765842
58697.1787847 2 18.4619 0.0754827
58694.2004167 2 18.2971 0.0675775
58691.2008796 2 18.3733 0.0667043
58688.3648032 2 18.4174 0.056781
58684.1780093 2 18.6057 0.0715766
58681.26125 2 19.1793 0.12627
58678.2428125 2 19.6012 0.150841
