ZTF19abjozed 0.080000 Ia
58747.4196875 2 20.3083 0.214814
58739.3775926 2 19.6195 0.168679
58736.4353472 2 19.6554 0.106256
58733.4023843 2 19.4365 0.109866
58730.4186227 2 19.3357 0.114943
58726.378912 2 19.3461 0.0915184
58723.3890278 2 19.1932 0.0713
58717.4745833 2 18.9119 0.0828593
58712.4201042 2 18.742 0.101705
58709.3938426 2 18.6313 0.0983536
58706.4021412 2 18.5343 0.0644368
58703.4245602 2 18.6196 0.0640113
58699.4819907 2 18.8909 0.0782833
58696.4641898 2 19.3902 0.0884765
