ZTF20aadcdzj 0.100000 Ia
58895.4911921 2 20.159 0.210772
58894.5134838 2 20.268 0.306546
58887.5083796 2 19.739 0.252159
58886.5252315 2 19.8474 0.225692
58885.5183333 2 19.8472 0.231109
58884.545544 2 19.7225 0.229773
58883.5539005 2 19.6808 0.212224
58881.5554398 2 19.7785 0.185053
58880.5336343 2 19.6964 0.174845
58878.3665856 2 19.454 0.215467
58877.4944676 2 19.4324 0.158238
58876.5517824 2 19.4029 0.142059
58875.5500231 2 19.3235 0.172595
58873.5137269 2 19.1792 0.123493
58872.5695023 2 19.1625 0.141903
58871.5284259 2 19.1958 0.141594
58867.4899074 2 19.0336 0.099005
58866.5324884 2 18.9792 0.119697
58864.4905208 2 18.9745 0.0978558
58862.4083218 2 18.892 0.174589
58859.4266319 2 19.0264 0.140369
58854.4750694 2 19.3867 0.276154
58852.5571412 2 19.6249 0.146845
58851.4987616 2 19.9694 0.269048
