ZTF18acrvakb 0.079000 Ia
58493.2653935 2 19.2692 0.102888
58490.2291667 2 18.8848 0.079281
58480.294375 2 18.8953 0.106306
58472.2728009 2 18.3686 0.097693
58466.3164583 2 18.1781 0.13464
58462.3127894 2 18.3469 0.0890722
58456.2748495 2 18.6149 0.0972604
58456.2329861 2 18.6758 0.0868737
58450.3753356 2 19.1079 0.0976808
