ZTF20aascwar 0.048000 Ia
58981.2884954 2 19.687 0.166973
58974.319838 2 19.5939 0.155482
58974.2783218 2 19.6094 0.189319
58973.3520718 2 19.7836 0.220937
58971.4159954 2 19.5952 0.109913
58970.3984491 2 19.4965 0.091593
58969.3727894 2 19.585 0.274262
58969.3723148 2 19.564 0.321359
58964.4072685 2 19.2668 0.0728259
58962.3298495 2 19.167 0.101008
58961.424213 2 19.2468 0.136553
58956.3497569 2 18.849 0.0846805
58955.4229167 2 18.8107 0.0727458
58954.4621991 2 18.6705 0.0691392
58943.497338 2 18.3239 0.0648765
58943.496875 2 18.2823 0.0536652
58939.4302431 2 18.1613 0.0704955
58939.4297801 2 18.2203 0.082084
58936.4435185 2 18.1435 0.0519443
58914.5171296 2 18.4764 0.0587711
58911.5164005 2 19.4289 0.121465
