ZTF20aaurfhs 0.035200 II
58987.3325116 2 18.7958 0.0701181
58986.3098843 2 18.8381 0.0830429
58985.3785764 2 18.6759 0.0819745
58984.4015972 2 18.7611 0.100483
58980.3138889 2 18.636 0.0963583
58973.3749537 2 18.4429 0.0886502
58972.3741088 2 18.4295 0.0743912
58970.4157176 2 18.3424 0.0654806
58968.4161574 2 18.2622 0.0646855
58967.3817014 2 18.2403 0.06176
58964.42 2 18.1316 0.0567009
58961.4584144 2 18.1076 0.0621048
58954.4994792 2 18.4211 0.0659597
