ZTF19aanuipj 0.060000 Ia
58612.4030903 1 20.7429 0.293312
58608.432581 1 20.3438 0.30409
58605.4921296 1 20.0716 0.253414
58596.4974537 1 19.0075 0.126132
58596.4772338 1 18.978 0.132599
58587.4897569 1 18.18 0.103222
58587.4717361 1 18.1535 0.11522
58584.4938079 1 18.0619 0.0661081
58584.4697917 1 18.0419 0.063744
58580.4491435 1 18.0929 0.0817806
58572.5065972 1 19.6597 0.16575
58572.4892824 1 19.5339 0.161014
