ZTF20aavrloz 0.043320 Ia
58985.3010764 1 18.3541 0.0706599
58985.299213 1 18.3216 0.069571
58981.3093403 1 17.8713 0.0716792
58980.2075579 1 17.7977 0.0601154
58979.2406713 1 17.7525 0.049529
58979.2387963 1 17.7259 0.0492964
58978.1977546 1 17.6541 0.0704221
58977.3409954 1 17.7122 0.0895569
58976.2002546 1 17.5677 0.0656279
58975.279375 1 17.504 0.0831693
58975.277037 1 17.6421 0.108617
58975.2547338 1 17.4884 0.0599117
58974.4531944 1 17.5112 0.0554194
58973.4580093 1 17.5095 0.0456095
58973.2660301 1 17.5105 0.0593552
58972.2773148 1 17.5654 0.0714328
58971.3094792 1 17.6047 0.0626887
58970.3069907 1 17.6594 0.0604728
58970.284838 1 17.6837 0.0487777
58969.3917477 1 17.8413 0.746432
58968.3103241 1 17.9174 0.0676624
58967.2869907 1 18.051 0.0694016
58967.2865162 1 18.0864 0.0851769
58966.4043981 1 18.219 0.0748008
58965.4093519 1 18.4838 0.0899399
58964.3533102 1 18.7778 0.0888
58964.3464005 1 18.8188 0.0817273
58963.3633449 1 19.2175 0.126885
58963.2967014 1 19.1841 0.109785
58962.3607292 1 19.4972 0.16087
