ZTF19adajqcq 0.050000 Ia
58914.4972454 1 20.6592 0.279754
58913.516875 1 20.6164 0.24579
58912.5373032 1 20.6283 0.223971
58908.5371181 1 20.7017 0.236293
58906.53125 1 20.5303 0.306373
58903.5372338 1 20.6008 0.213002
58899.5352662 1 20.4712 0.212414
58898.5482755 1 20.4908 0.140373
58893.4903935 1 20.3783 0.213843
58884.4235648 1 20.0602 0.308905
58881.5146991 1 19.8046 0.173139
58878.5291667 1 19.6557 0.176023
58875.4898264 1 19.4052 0.127695
58872.4328588 1 19.1268 0.0894677
58864.4685532 1 18.4038 0.0727409
58861.514294 1 18.0487 0.0813596
58856.5504167 1 17.7609 0.0513369
58853.5341898 1 17.6058 0.0614469
58850.5556481 1 17.4775 0.0517673
