ZTF19abhduuo 0.018000 II
58738.357037 2 19.3539 0.193408
58735.3775463 2 19.3174 0.110306
58726.3831019 2 18.9146 0.103586
58723.388125 2 18.8466 0.0742575
58720.3881134 2 18.6786 0.0927248
58717.4736806 2 18.5707 0.0925444
58711.4199537 2 18.5109 0.0952821
58707.4802546 2 18.5003 0.056805
58704.4802199 2 18.5606 0.0751989
58695.4629977 2 18.39 0.0640447
58692.4850347 2 18.3405 0.0570626
58684.4615856 2 18.3606 0.0911962
