ZTF19aakpfax 0.079900 Ia
58575.424537 2 20.024 0.146984
58575.4240509 2 20.188 0.258793
58572.4306597 2 19.8084 0.194764
58567.5304977 2 19.5805 0.155231
58560.4266204 2 19.5903 0.142369
58560.4133449 2 19.7301 0.240337
58557.426794 2 19.4235 0.168367
58557.3725926 2 19.228 0.175117
58547.5097569 2 18.9316 0.0903288
58547.4959028 2 18.9441 0.130663
58541.5526852 2 18.8233 0.144469
58541.5343866 2 19.0552 0.090665
