ZTF18acwutbr 0.011000 Ia
58542.1343056 1 20.4406 0.287262
58514.2076157 1 19.7074 0.29256
58509.2113773 1 19.2283 0.131946
58505.2230556 1 18.7618 0.179214
58495.2275694 1 18.0292 0.0614704
58493.209838 1 17.7981 0.0640509
58488.2400694 1 17.4829 0.0713063
58487.2237269 1 17.4387 0.0476012
58480.2891435 1 17.418 0.0637284
58476.2837384 1 17.6729 0.0684356
58468.3995833 1 19.7095 0.164145
