ZTF17aadlxmv 0.062000 Ia
58912.2059954 2 19.0158 0.121421
58909.1525 2 18.6085 0.185442
58909.1210417 2 18.9303 0.177825
58906.2165625 2 18.6465 0.111583
58903.2151505 2 18.6302 0.0760819
58903.182581 2 18.7345 0.069402
58900.1875231 2 18.0767 0.201914
58899.3100347 2 18.6894 0.061396
58898.3017477 2 18.6597 0.0996259
58892.2588194 2 18.5119 0.0740611
58884.1775231 2 17.9513 0.108308
58882.1709606 2 17.9604 0.0609669
58881.2611806 2 17.9718 0.0520917
58874.2674306 2 18.0731 0.0638197
58873.2263194 2 18.1249 0.0542393
58871.2648727 2 18.3491 0.0628269
58866.3430671 2 19.0005 0.104796
58863.3514699 2 19.799 0.200902
