ZTF19abqlrtb 0.057000 Ia
58756.4396296 1 20.489 0.23331
58750.4182176 1 20.0546 0.203082
58747.4839005 1 19.7369 0.258719
58738.4421296 1 19.0336 0.148903
58735.4603704 1 18.8099 0.0694259
58722.462338 1 18.1345 0.0472648
58717.4423843 1 18.266 0.100139
58714.4869907 1 18.5956 0.0970561
58711.4978819 1 19.1322 0.218512
58708.4756829 1 20.3472 0.267611
