ZTF18accnbgw 0.070000 Ia-91T
58490.2175579 2 20.2666 0.193976
58486.47 2 20.1342 0.193409
58486.4479514 2 20.0999 0.21535
58481.4452662 2 20.1243 0.194877
58480.4428241 2 19.8096 0.16245
58474.3386574 2 19.4605 0.206113
58472.4255208 2 19.5181 0.147053
58464.5304051 2 19.2097 0.0889319
58464.2984375 2 19.1012 0.153575
58461.5245139 2 19.1313 0.132227
58461.5154745 2 19.1006 0.106815
58455.488912 2 19.0611 0.164972
58455.485162 2 18.9639 0.0944878
58450.5399653 2 18.7323 0.0835946
58450.3882407 2 18.7539 0.0953219
58447.42125 2 18.5941 0.10233
58447.420787 2 18.5672 0.0793025
58443.445625 2 18.4072 0.0674046
58443.4058449 2 18.4404 0.0720384
58440.5161458 2 18.4306 0.075028
58440.5129282 2 18.428 0.060272
58437.5268519 2 18.3899 0.0689462
58437.3921875 2 18.4634 0.0698271
58434.4627894 2 18.5634 0.0853063
58434.4509722 2 18.6023 0.10357
58431.5142361 2 18.9109 0.101485
58431.5096528 2 18.8177 0.117127
58428.5069444 2 19.3813 0.102431
58428.4988194 2 19.2909 0.150446
58425.4641435 2 20.1201 0.18537
