ZTF19acyogvo 0.050000 Ia
58877.1342014 2 19.5009 0.153104
58874.1409491 2 19.3181 0.100717
58873.1823264 2 19.2811 0.128833
58867.1202546 2 18.9515 0.133375
58863.1946528 2 18.9794 0.220413
58861.1658681 2 18.8157 0.124693
58860.1628356 2 18.8865 0.148745
58859.2356019 2 18.8913 0.133572
58859.1916898 2 18.9759 0.151116
58852.1770718 2 18.4459 0.0782014
58850.1192708 2 18.3799 0.100712
58849.1758565 2 18.3317 0.0646477
58849.156794 2 18.2929 0.079963
58846.1346644 2 18.3032 0.0750327
58833.283287 2 19.6117 0.227594
58833.219919 2 19.5956 0.231144
