ZTF19aaywlmi 0.070000 Ia
58694.2231944 1 20.5229 0.220627
58691.2167824 1 20.626 0.292694
58688.2045602 1 20.34 0.24828
58684.2015625 1 20.006 0.209061
58675.304456 1 19.271 0.122083
58666.2257986 1 18.7168 0.087096
58663.2252778 1 18.5451 0.0709331
58660.1982639 1 18.5195 0.0645558
58657.2257407 1 18.4512 0.0647292
58653.289537 1 18.6526 0.0926525
58650.196412 1 19.2598 0.179422
58647.222419 1 19.6669 0.224084
