ZTF19acdxlns 0.069000 Ia
58812.2034144 2 20.1703 0.202505
58811.1629745 2 19.9519 0.220714
58803.2704051 2 19.6889 0.184586
58789.2919676 2 19.3844 0.123353
58789.1376736 2 19.3216 0.154215
58788.1372917 2 19.1422 0.146371
58786.1440394 2 19.1745 0.128995
58783.1374884 2 18.9319 0.100003
58782.1362847 2 18.9102 0.118456
58779.1372685 2 18.9374 0.103927
58778.1374653 2 18.8189 0.104299
58777.1372685 2 18.7774 0.126424
58776.1368634 2 19.0422 0.125963
58774.137338 2 18.9132 0.126562
58773.1370486 2 18.857 0.152661
