ZTF19achajnc 0.090000 Ia
58806.5081019 2 19.3023 0.161284
58805.3816898 2 19.2628 0.146488
58805.3812037 2 19.2444 0.193112
58799.4772801 2 18.9299 0.160438
58799.4549537 2 19.1555 0.152337
58799.3311574 2 18.9206 0.125594
58799.3142824 2 19.1534 0.164679
58798.3087731 2 18.8089 0.123096
58796.4344792 2 18.87 0.12301
58793.5146412 2 18.6844 0.0948185
58793.5114352 2 18.7535 0.07304
58790.4895486 2 18.7442 0.109959
58790.4770949 2 18.7194 0.0728714
58787.5114931 2 18.8941 0.177183
58784.5132755 2 18.9422 0.19804
58784.5123495 2 18.9602 0.138656
58781.4873264 2 19.1945 0.147713
58778.4930208 2 19.9837 0.253765
