ZTF20aaqrddh 0.079900 Ia
58936.2996065 1 20.1978 0.171982
58915.4948843 1 18.6232 0.193347
58914.4703819 1 18.674 0.145962
58913.510463 1 18.8417 0.109371
58912.5121181 1 18.9021 0.0767905
58911.4087963 1 19.0357 0.0983788
58908.3477662 1 19.2794 0.100076
58908.3477662 1 19.2794 0.100076
58906.3434028 1 19.8381 0.194042
58904.4291667 1 20.1035 0.206934
58903.3627662 1 20.458 0.237638
