ZTF18aboqykf 0.085000 Ia
58388.2015046 2 19.7199 0.188874
58385.2000463 2 19.5074 0.168663
58379.2227662 2 19.491 0.112619
58376.2035648 2 19.2283 0.110366
58373.2825 2 19.118 0.0910942
58370.2817824 2 19.0483 0.0934086
58367.3263194 2 18.9064 0.091991
58364.3162153 2 18.8658 0.0943568
58361.2702431 2 18.9098 0.0900451
58358.2604282 2 18.9757 0.097308
58355.4279398 2 19.0835 0.132943
58355.2841782 2 19.0901 0.11922
58352.2887153 2 19.3988 0.180028
