ZTF19abvgwvp 0.119000 Ia
58775.3392824 2 20.0955 0.190243
58766.4889236 2 19.8192 0.228419
58763.3569907 2 19.6767 0.15674
58760.3280208 2 19.7212 0.171025
58757.5166667 2 19.4875 0.113501
58751.3140741 2 19.3171 0.11336
58748.440081 2 19.1252 0.095565
58741.4393519 2 18.7982 0.145126
58738.3957755 2 18.9135 0.091999
58735.4844444 2 19.1085 0.0802352
58732.4790625 2 19.3481 0.118718
58727.5147106 2 20.1103 0.177187
