ZTF19abdkcib 0.107000 Ia
58704.4202546 1 20.665 0.319226
58699.44 1 20.1586 0.223326
58696.4383565 1 19.9429 0.160162
58693.4211921 1 19.6002 0.157071
58690.4603009 1 19.3827 0.147519
58684.4065278 1 19.0537 0.236334
58680.4815856 1 18.8387 0.139379
58677.4609606 1 18.7892 0.0879406
58674.4455787 1 18.9236 0.10811
58667.4408681 1 19.6013 0.204196
