ZTF19abhduuo 0.018000 II
58735.419838 1 20.5819 0.300228
58726.4590625 1 20.2385 0.231584
58723.4597685 1 20.0878 0.187471
58707.4386458 1 19.7009 0.147168
58704.4585185 1 19.669 0.163863
58701.4601157 1 19.5654 0.144271
58698.4547801 1 19.4764 0.132169
58695.4405903 1 19.4379 0.14699
58684.4376505 1 19.2009 0.237031
