ZTF19aatgrpm 0.080330 Ia
58658.1818056 2 20.1079 0.172776
58658.1813426 2 19.9838 0.201898
58654.1753819 2 19.8747 0.19893
58648.1965741 2 19.4122 0.185283
58646.2134375 2 19.403 0.145616
58642.2224074 2 19.4364 0.120843
58642.2146644 2 19.3647 0.116057
58639.1790394 2 19.3326 0.107834
58639.178125 2 19.3765 0.118884
58633.1856134 2 19.1643 0.0763932
58633.1690278 2 19.1751 0.120643
58618.3026736 2 18.6293 0.138144
58612.1925231 2 18.9473 0.0752728
58612.1915741 2 18.8843 0.102549
58608.2345139 2 19.4448 0.104336
58608.2339352 2 19.5194 0.130836
