ZTF19aaleptm 0.079000 Ia
58586.4084722 1 20.7197 0.25695
58580.4224421 1 20.6059 0.282573
58575.3400231 1 20.3211 0.198117
58572.3876273 1 19.9384 0.169156
58567.4412963 1 19.5473 0.21273
58567.4104398 1 19.4217 0.16318
58560.2816435 1 18.859 0.154956
58556.4542014 1 18.6766 0.0847864
58547.3596991 1 18.948 0.132116
58541.436713 1 20.313 0.236888
58540.4271065 1 20.6721 0.248579
