ZTF18acnbenl 0.065000 Ia
58606.2708565 2 19.3402 0.128288
58593.2858449 2 19.4573 0.244692
58486.4938657 2 19.7198 0.134374
58480.4461921 2 19.4582 0.165571
58472.4468287 2 19.0185 0.0920567
58450.5297917 2 18.235 0.0539802
58447.5276852 2 18.2355 0.0626053
58447.4326157 2 18.3759 0.0855148
58443.431713 2 18.4494 0.0804683
58440.5310995 2 18.8143 0.0687135
