ZTF18ablongw 0.081810 Ia
58374.1812037 2 19.711 0.15942
58371.1576042 2 19.7191 0.109626
58368.1779514 2 19.5985 0.143109
58362.1786343 2 19.334 0.091857
58359.1995255 2 19.217 0.115162
58356.2670602 2 19.096 0.130039
58352.2190162 2 19.0279 0.11517
58349.2444676 2 18.904 0.0880449
58343.3302662 2 19.1873 0.127877
58340.1781597 2 19.0916 0.123074
58337.3302431 2 19.48 0.101476
