ZTF19acanzwg 0.047000 II
58881.1001736 2 19.6923 0.203495
58880.1612847 2 19.7121 0.223803
58879.0933333 2 19.4253 0.161347
58875.1045833 2 19.3639 0.10689
58871.1103241 2 19.3079 0.119201
58871.1030787 2 19.2501 0.114956
58862.2006481 2 19.04 0.0901853
58861.1796181 2 18.9081 0.0998282
58860.1525579 2 18.907 0.0881265
58859.2219097 2 18.8135 0.128074
58859.1640856 2 18.8293 0.10993
58856.1621296 2 18.8315 0.0960032
58854.1508912 2 19.0113 0.234349
58853.1293519 2 18.772 0.156159
58850.1097338 2 18.7561 0.124994
58846.1447917 2 18.7279 0.0632583
58837.0824306 2 18.5697 0.0590574
58836.0978241 2 18.5406 0.0657411
58833.1029861 2 18.51 0.0596304
58830.2834606 2 18.5953 0.0996126
58830.2347917 2 18.5077 0.0796691
58827.2409954 2 18.496 0.0933024
58814.2055324 2 18.5924 0.0732247
58814.1761574 2 18.625 0.178398
58812.1993171 2 18.6419 0.0781037
58811.1620602 2 18.6487 0.0719466
58806.2144792 2 18.7748 0.0623526
58803.2815625 2 18.9186 0.0812534
58799.305787 2 19.274 0.246177
58794.3192477 2 19.4579 0.150395
58791.3459375 2 19.5393 0.130763
58790.1913194 2 19.5745 0.112528
58789.2669213 2 19.4539 0.151695
58789.1371991 2 19.5002 0.162153
58788.1368056 2 19.7518 0.263668
58787.1359144 2 19.9035 0.265858
58786.1435532 2 19.9335 0.251316
58783.1370023 2 20.0363 0.188724
58781.1366898 2 20.0148 0.246277
58777.136794 2 19.876 0.203148
58776.1363773 2 20.2461 0.242085
58775.1365856 2 20.2781 0.23027
58774.1368519 2 20.1053 0.290905
58765.1352431 2 19.866 0.286981
58764.1350463 2 19.8691 0.283516
58763.3368171 2 20.1285 0.204147
58760.3265162 2 20.0394 0.174626
58757.3322222 2 20.1263 0.191615
58749.2994444 2 20.7143 0.224883
