ZTF18acyarki 0.025860 Ia
58586.4098264 1 20.4273 0.197293
58583.3661806 1 20.309 0.233069
58580.4084722 1 20.22 0.163188
58575.3450463 1 20.0317 0.170869
58567.3997917 1 19.9096 0.306444
58560.2642824 1 19.6782 0.292524
58556.4644676 1 19.7504 0.130974
58547.3415046 1 19.6453 0.150833
58540.4271065 1 19.7832 0.171753
58526.4633218 1 19.3862 0.152418
58522.5040625 1 19.3321 0.0996716
58511.5094792 1 19.2103 0.122404
58505.4891088 1 19.1134 0.3235
58502.4731713 1 18.9343 0.144567
58494.5336343 1 18.3263 0.0703625
58491.5093519 1 17.9833 0.0605682
58487.5097222 1 17.5727 0.0454265
58480.5334838 1 17.0357 0.0371112
58472.4887847 1 16.6284 0.0328501
58469.5065046 1 17.1738 0.153798
