ZTF20aamgdkb 0.075000 Ia
58915.3659491 2 19.0455 0.112036
58914.3466898 2 19.0487 0.104293
58913.2436227 2 19.031 0.119972
58912.4327894 2 19.0156 0.105498
58911.2231829 2 18.8869 0.157203
58906.4555903 2 18.6427 0.083025
58905.2208912 2 18.6441 0.0896283
58904.2213889 2 18.5893 0.084521
58903.3845255 2 18.6078 0.0673589
58901.3952083 2 18.5135 0.0712398
58900.265625 2 18.4941 0.080418
58899.3233102 2 18.4697 0.081296
58898.3701736 2 18.519 0.065907
58896.3009606 2 18.5363 0.0817383
58895.4754051 2 18.5411 0.0724682
58894.4771644 2 18.6024 0.101099
58893.2983218 2 18.6836 0.0912962
58891.4893287 2 18.8248 0.0850314
58890.4278704 2 19.0295 0.168679
58888.4310648 2 19.1748 0.178337
