ZTF18abaelhi 0.023000 II
58985.2064352 1 19.7699 0.133447
58962.3377083 1 19.6479 0.153807
58956.3611343 1 19.674 0.169918
58944.4334375 1 19.5869 0.320208
58937.388831 1 19.8257 0.141665
58936.4646528 1 19.6898 0.142043
58911.4371296 1 19.6955 0.220199
58908.3537847 1 19.7382 0.141666
58908.3537847 1 19.7382 0.141666
58904.4405093 1 19.6033 0.176279
58894.5448727 1 19.7795 0.190009
58887.4411111 1 19.5127 0.253922
58884.4617708 1 19.6863 0.214579
58881.501412 1 19.7684 0.132815
58878.5223264 1 19.7061 0.199271
58872.4403009 1 19.7199 0.169591
58861.4984259 1 19.5657 0.282636
58856.5440856 1 19.7774 0.115591
58853.5419213 1 19.721 0.122591
58850.5628819 1 19.7268 0.149401
58835.5470139 1 19.4136 0.195452
58686.1696412 1 19.7211 0.161582
58683.1710764 1 20.0671 0.217689
58680.17 1 19.4239 0.197667
58670.1919329 1 19.7743 0.174575
58600.2331597 1 19.8255 0.132417
58587.3744792 1 19.7479 0.209467
58583.3587963 1 19.8452 0.181046
58580.299375 1 19.8357 0.128698
58575.3151736 1 19.8336 0.165453
58572.3350463 1 19.651 0.141629
58568.2529745 1 19.7243 0.170265
58556.4394097 1 19.7867 0.168081
58543.482963 1 19.7147 0.169521
58543.482963 1 19.7147 0.169521
58526.476875 1 19.7848 0.232164
58522.4949306 1 19.7834 0.183909
58522.4933796 1 19.7616 0.183361
58511.4918981 1 19.7624 0.168047
58494.5232639 1 19.7469 0.132406
58491.503125 1 19.6555 0.170535
58487.5185995 1 19.6911 0.144749
