ZTF19aarnqys 0.040000 Ib
58642.2526968 2 20.3297 0.203294
58639.2739352 2 20.2087 0.193043
58636.2104282 2 19.9115 0.152565
58633.2958102 2 19.9276 0.181059
58619.3160532 2 19.4778 0.268541
58616.2939815 2 19.2098 0.127794
58606.3377083 2 18.8864 0.0729212
58597.3783102 2 19.3159 0.121324
58588.3795949 2 20.4736 0.345496
