ZTF18abvgivy 0.064650 II
58981.1572917 1 19.9061 0.185301
58963.2076042 1 20.0562 0.16272
58963.1544444 1 20.0628 0.163116
58954.1759838 1 20.2325 0.181596
58912.1641204 1 19.9274 0.205954
58909.2300579 1 19.8388 0.253306
58906.2608102 1 20.233 0.183939
58904.1614699 1 20.0471 0.202191
58900.2985185 1 20.164 0.199451
58898.239537 1 20.1213 0.144236
58898.2390856 1 20.1429 0.167338
58881.1958333 1 20.0632 0.233123
58879.1940972 1 20.2224 0.235273
58867.3910764 1 20.2234 0.206284
58864.2051968 1 20.074 0.163672
58855.4649769 1 20.0709 0.224684
58853.4614583 1 20.1068 0.168315
58852.4624769 1 20.1662 0.162359
58850.4254977 1 19.9701 0.274889
58849.4689236 1 20.1842 0.205615
58846.484919 1 20.2209 0.166902
58812.4345486 1 20.1084 0.192297
58806.4668403 1 20.2827 0.260929
58802.5439931 1 20.0724 0.312602
58796.5496528 1 19.9339 0.21714
58788.5064468 1 20.1791 0.286583
58785.462963 1 20.0805 0.195846
58763.4705324 1 20.1419 0.195185
58759.4701736 1 20.4935 0.246415
58758.509294 1 20.0726 0.191339
58756.4708449 1 20.0568 0.236705
58748.5141667 1 20.235 0.287895
58736.4880671 1 20.1706 0.312911
58606.1528356 1 20.2012 0.200609
58594.1721644 1 20.1678 0.244967
58584.2062384 1 20.0792 0.252284
58581.204838 1 20.1487 0.172455
58575.2025694 1 20.0332 0.345904
58567.1742245 1 20.1709 0.21196
58560.1920718 1 19.6097 0.268162
58556.2431366 1 20.0997 0.243827
58522.4053819 1 20.2108 0.185694
58464.4786806 1 20.3004 0.149444
