ZTF19abzhvxk 0.083000 Ia
58785.1228009 1 20.4633 0.252989
58779.1116435 1 19.8636 0.160099
58776.1118056 1 19.5911 0.134221
58773.1130671 1 19.4628 0.191771
58767.215162 1 18.9414 0.303105
58764.2460185 1 18.7582 0.102004
58760.1305556 1 18.5669 0.074379
58757.1376505 1 18.4214 0.0602584
58754.262963 1 18.3851 0.0827233
58747.1451157 1 18.7901 0.0683769
58744.1305208 1 19.3904 0.092297
