ZTF19abjarhj 0.108000 Ia-91T
58757.3256713 2 20.6972 0.21055
58736.431169 2 19.9276 0.128973
58730.3990741 2 19.7045 0.104519
58724.3993056 2 19.464 0.113373
58718.4778704 2 19.2526 0.106824
58715.3784144 2 19.0764 0.126973
58712.4026389 2 18.915 0.120783
58706.4039931 2 18.7884 0.0758896
58703.426412 2 18.8845 0.0793263
58699.3922685 2 19.0049 0.0857205
58696.4784375 2 19.1336 0.0735666
58693.4659144 2 19.5136 0.082466
