ZTF19abpxcaf 0.063000 Ia
58759.374838 2 19.5108 0.135985
58756.3931597 2 19.4089 0.121317
58748.3342593 2 19.0334 0.0718672
58745.3991898 2 19.2289 0.17061
58739.3996065 2 19.017 0.115265
58733.4055556 2 18.7112 0.0469952
58730.4199769 2 18.5097 0.0461754
58727.4815509 2 18.3359 0.0519883
58718.4626505 2 18.612 0.103987
58712.4398148 2 19.0785 0.15176
58709.3992477 2 19.98 0.239851
