ZTF20aadvunl 0.060000 Ia
58898.2167824 1 21.0758 0.276125
58898.2051273 1 21.1187 0.397457
58881.1829514 1 19.7432 0.170035
58879.1418287 1 19.4035 0.287769
58878.2240162 1 19.6071 0.23948
58876.1865741 1 19.4372 0.104159
58876.1865741 1 19.4381 0.105613
58867.2138542 1 19.0576 0.093432
58864.1971875 1 19.169 0.103742
58864.1641782 1 19.167 0.093546
58863.16 1 19.1117 0.242188
58862.4329514 1 19.049 0.160712
58861.1149769 1 19.1492 0.152949
58860.1137384 1 19.1461 0.214533
58855.4424653 1 19.8299 0.246843
58853.4623843 1 20.4403 0.17823
58852.4647685 1 20.8059 0.251567
