ZTF20aayxldg 0.047369 Ia
58987.4139468 1 17.7307 0.0540992
58986.3915972 1 17.8835 0.0682735
58986.385463 1 17.8728 0.0594777
58985.4262616 1 17.9307 0.0571739
58985.3067361 1 18.0186 0.0891568
58981.3020139 1 18.7802 0.0834809
58981.3015394 1 18.7266 0.108992
58980.4161227 1 19.1399 0.132237
58980.4099769 1 19.057 0.132878
58979.2646759 1 19.7029 0.202977
58979.2425579 1 19.5419 0.169489
