ZTF19abzzhsa 0.041000 Ia
58791.5076968 2 19.0974 0.135435
58788.5417361 2 18.9289 0.123194
58784.5137269 2 18.7224 0.118689
58781.4901505 2 18.4094 0.0754678
58778.4934722 2 18.4365 0.0762178
58772.5368981 2 18.4444 0.0770118
58769.4695949 2 18.1917 0.0888807
58763.5156829 2 17.8394 0.053919
58759.5108218 2 17.8284 0.0417925
58756.5127778 2 17.941 0.0592573
58750.5097569 2 18.5645 0.0854709
58747.4646181 2 19.3332 0.110951
