ZTF18abtxvhy 0.072000 Ia
58390.3545833 1 18.4411 0.100257
58390.3062037 1 18.6031 0.117695
58387.2865278 1 18.3378 0.091844
58383.2757292 1 18.2094 0.103347
58380.3536806 1 18.1811 0.0727677
58377.3394097 1 18.2973 0.0665572
58374.2764583 1 18.6094 0.0977925
58371.3495949 1 19.1171 0.112035
58368.3584028 1 20.077 0.183565
