ZTF19acgbzam 0.070000 Ia
58846.215463 1 20.911 0.368677
58836.1300231 1 20.552 0.316935
58811.2127778 1 19.6029 0.209377
58811.2057407 1 19.6086 0.244201
58806.1949537 1 19.1273 0.139106
58803.1894329 1 18.7381 0.149976
58800.2319213 1 18.51 0.168039
58794.2567477 1 18.2322 0.0845826
58791.2949537 1 18.1444 0.0697232
58790.2855208 1 18.1544 0.0904294
58789.3492593 1 18.1571 0.0946337
58788.3577315 1 18.1523 0.0786145
58785.3253125 1 18.2352 0.085072
