ZTF20aaifyab 0.055000 Ia
58898.5644444 1 19.7703 0.218882
58898.5593056 1 19.977 0.244217
58894.5574769 1 19.5446 0.185086
58891.4728704 1 19.0871 0.148796
58885.4685995 1 18.7198 0.138791
58879.5091782 1 18.2278 0.152546
58876.5344444 1 18.0144 0.058535
58876.5344444 1 18.016 0.058994
58873.5560532 1 17.9544 0.0676498
