ZTF20aairvsi 0.070000 Ia
58912.1650463 1 19.7534 0.216661
58909.1891088 1 19.6323 0.220591
58906.2626505 1 19.2749 0.128696
58906.1449884 1 19.2481 0.122771
58904.1587037 1 19.0743 0.104665
58903.2429282 1 18.9418 0.0918965
58899.224294 1 18.6369 0.075519
58898.2360532 1 18.6313 0.082392
58895.1999306 1 18.4643 0.0770252
58890.3068056 1 18.2233 0.0910089
58881.1865509 1 18.5359 0.0798644
58879.1720486 1 18.8632 0.121429
58876.1947801 1 19.7167 0.144428
58876.1947801 1 19.7198 0.144185
