ZTF18abkhcrj 0.038230 Ia
58389.1303935 1 20.3072 0.2052
58374.1919444 1 19.7632 0.190457
58371.2058912 1 19.6013 0.152086
58368.1916435 1 19.2305 0.111111
58365.2133333 1 19.0961 0.0989705
58362.1906944 1 18.7861 0.0958092
58349.1687037 1 17.8375 0.0602379
58346.1617014 1 17.6984 0.061013
58343.1836227 1 17.6662 0.0529291
58340.3242708 1 17.6271 0.0834303
58336.2434491 1 17.8715 0.0581741
58333.1718519 1 18.2717 0.0663311
58330.1872917 1 19.0183 0.109849
