ZTF19acbpzir 0.066000 Ia
58794.1372222 1 20.0036 0.327377
58792.1959606 1 19.8604 0.208069
58791.1503472 1 19.755 0.187101
58790.2633681 1 19.9067 0.238824
58789.202037 1 19.6469 0.19779
58787.1684028 1 19.3652 0.231956
58786.176088 1 19.5123 0.181178
58785.2258218 1 19.2601 0.116476
58783.1699306 1 19.0321 0.124466
58782.2198611 1 19.015 0.102008
58781.1700463 1 18.8388 0.14138
58779.1705556 1 18.556 0.0950537
58778.1707292 1 18.4982 0.0829594
58777.1705324 1 18.3283 0.0798488
58776.1700926 1 18.2718 0.0649486
58775.1708449 1 18.2094 0.0702623
58774.1707523 1 18.1979 0.0705496
58771.1718403 1 18.0008 0.0826238
58770.1716088 1 17.9621 0.104722
58770.1219329 1 17.9618 0.0698521
58769.1715625 1 17.968 0.0840955
58768.1716204 1 17.9472 0.0686212
58765.1749653 1 17.9997 0.0638968
58764.3378704 1 18.0361 0.0659378
58764.1742824 1 18.0619 0.0703625
58763.1829398 1 18.1363 0.0940304
58762.1815972 1 18.2294 0.0730237
58761.1824306 1 18.3506 0.0765413
58760.1834144 1 18.4271 0.0863349
58758.3396875 1 18.8153 0.0942775
58758.1990162 1 18.8991 0.109571
58754.1822569 1 20.2431 0.238146
