ZTF18accwjod 0.021000 Ia
58939.1648495 2 18.6225 0.0939438
58913.2125231 2 18.627 0.115
58912.4153125 2 18.828 0.0935766
58909.316169 2 18.7437 0.09956
58909.3152662 2 18.7115 0.112926
58906.2319329 2 18.595 0.108454
58906.2314815 2 18.8559 0.139622
58905.2331944 2 18.5302 0.133345
58903.3951968 2 18.6787 0.112565
58901.3744676 2 18.7182 0.102251
58900.2563773 2 18.7427 0.095846
58899.2986574 2 18.6382 0.086021
58899.2667708 2 18.7196 0.095328
58896.3123495 2 18.8412 0.0830594
58893.2750579 2 18.802 0.0942294
58886.2947569 2 18.8576 0.139575
58886.2938542 2 18.8471 0.146499
58879.3132292 2 19.0062 0.206245
58878.3193981 2 19.2433 0.130619
58874.3317708 2 19.2715 0.115651
58874.3051852 2 19.024 0.118943
58871.4900116 2 19.4018 0.132317
58871.4895602 2 19.3053 0.16645
58871.3138542 2 18.9312 0.14421
58866.3712847 2 19.242 0.131507
58788.5297801 2 19.1504 0.154882
58634.1706944 2 19.1016 0.174416
58608.2168519 2 18.8252 0.0904961
58608.2154861 2 18.8807 0.132329
58605.1645023 2 18.9558 0.137502
58486.4992014 2 18.9482 0.105066
58426.5383333 2 19.5409 0.170643
