ZTF18acrtykk 0.061000 Ia
58493.1347106 2 19.8525 0.122728
58490.1839583 2 19.6927 0.173537
58486.143044 2 19.3522 0.10024
58482.2037037 2 19.0309 0.0989596
58480.2998843 2 19.2447 0.144856
58474.3136921 2 19.0486 0.171123
58464.2540046 2 18.4831 0.0730125
58461.2575347 2 18.485 0.0622883
58457.2131713 2 18.55 0.100414
58455.3078704 2 18.7609 0.10511
58455.2590509 2 18.6597 0.0739526
58450.3415162 2 19.3063 0.153634
