ZTF19acbqzvu 0.065000 Ia
58797.1801968 1 20.1084 0.285507
58796.1617014 1 20.1118 0.379214
58795.1414468 1 19.7837 0.263502
58795.1292708 1 20.176 0.325745
58794.1567477 1 19.8919 0.2579
58794.1562847 1 20.113 0.282923
58794.1558333 1 19.8219 0.231008
58792.2018519 1 19.6456 0.209912
58791.156088 1 19.9091 0.183864
58791.155625 1 19.8344 0.199112
58791.1443171 1 19.8499 0.197875
58785.2269097 1 19.0778 0.105031
58782.2249769 1 18.9152 0.112499
58782.2245255 1 19.0551 0.101469
58779.1873495 1 18.6514 0.0947909
58779.1868866 1 18.792 0.0960346
58776.1877546 1 18.4691 0.0698019
58773.1234028 1 18.3881 0.0741975
58772.1252894 1 18.5034 0.10821
58769.197581 1 18.4878 0.130221
58767.2479282 1 18.5772 0.224961
58766.1939815 1 18.8013 0.127697
58764.2770833 1 19.0268 0.128058
58763.1909838 1 19.2168 0.139864
58762.1896528 1 19.386 0.155244
58761.1904745 1 19.6934 0.176418
58760.1914699 1 19.7665 0.160042
58758.2070486 1 20.1454 0.204742
