ZTF19abqmpsr 0.033000 Ia
58794.3167361 2 19.9666 0.209176
58791.3371991 2 19.874 0.17291
58789.2692477 2 19.8677 0.174723
58788.3428009 2 19.7817 0.166122
58784.3810648 2 19.9496 0.221948
58777.2928588 2 19.4713 0.189359
58774.3144676 2 19.2888 0.225025
58769.4207639 2 18.8987 0.125178
58766.4912037 2 19.0571 0.103307
58763.3745833 2 18.8066 0.0817819
58759.3725463 2 18.677 0.0682556
58750.4668056 2 18.1569 0.0627438
58747.4405671 2 18.0699 0.064574
58741.4210069 2 17.9272 0.071771
58738.5052894 2 17.8499 0.052576
58735.4830324 2 17.6087 0.0553014
58732.4777083 2 17.3839 0.0396229
58725.4994907 2 17.2369 0.0328919
58722.4868981 2 17.3457 0.0415666
58719.4645949 2 17.5836 0.0481137
