ZTF18acwzxhr 0.026000 II
58987.2135995 1 18.7955 0.110929
58981.1702083 1 18.8882 0.104194
58977.1685301 1 18.8076 0.20786
58963.2535185 1 18.9013 0.102526
58963.1889583 1 18.8599 0.114635
58955.1818519 1 18.8062 0.102822
58915.2329167 1 19.0437 0.183938
58898.3773495 1 18.8654 0.090462
58895.3808912 1 18.9371 0.100561
58892.3559259 1 19.0025 0.143986
58888.2737153 1 18.8105 0.237144
58885.4220718 1 18.9701 0.186736
58876.38 1 18.837 0.0944562
58876.38 1 18.8384 0.095007
58873.3975 1 18.8912 0.100977
58852.501412 1 18.8942 0.106628
58849.4989931 1 18.8986 0.120993
58836.5472685 1 18.8345 0.107532
58638.1817824 1 19.7734 0.169905
58606.1486574 1 19.6751 0.228184
58580.2308565 1 20.1953 0.24542
