ZTF18acuscrr 0.070000 Ia
58522.2232407 2 20.3807 0.193049
58509.2648495 2 19.8834 0.160059
58493.2765741 2 19.2417 0.109571
58490.2170949 2 19.1964 0.117103
58486.471412 2 19.1411 0.0949453
58480.4262963 2 18.6575 0.0858125
58472.4029398 2 18.5272 0.0779932
58464.5280556 2 19.085 0.0834699
58461.5173727 2 19.4753 0.135765
