ZTF20aavzlxm 0.073600 Ia
58985.2860764 2 18.4578 0.0529284
58981.277662 2 18.3077 0.0617325
58980.2899074 2 18.2479 0.0562405
58979.3282755 2 18.2888 0.0676514
58978.2750579 2 18.2298 0.0634908
58977.2708218 2 18.2913 0.067532
58977.2612037 2 18.2885 0.060935
58976.3274769 2 18.3106 0.135479
58975.3883796 2 18.3266 0.0820726
58974.3310185 2 18.4227 0.0664666
58974.2867708 2 18.3344 0.0703504
58973.3270949 2 18.3807 0.0743444
58972.4077199 2 18.3424 0.0595961
58971.4150694 2 18.4494 0.0632272
58970.4003241 2 18.5913 0.0550082
58968.4037384 2 18.8095 0.0715264
58967.3673843 2 18.987 0.0812359
58965.343588 2 19.4271 0.113418
58964.4377546 2 19.6676 0.135647
58962.3265625 2 20.769 0.283745
