ZTF19aamqlyl 0.030000 Ia
58642.2109722 2 19.5276 0.172608
58638.2105093 2 19.3055 0.17772
58635.231169 2 19.2773 0.176012
58617.2512153 2 18.6992 0.129341
58607.2493519 2 18.0924 0.0763246
58598.2965046 2 17.6639 0.063891
58593.3134722 2 17.6297 0.0766102
58587.2727083 2 17.4914 0.0687574
58584.2946991 2 17.3831 0.0578646
58568.3114005 2 16.6542 0.0389322
58561.3363773 2 17.2216 0.0605127
58558.3351042 2 17.8934 0.0828106
