ZTF18abncimo 0.056840 Ia
58379.3383796 1 19.181 0.110695
58376.3134838 1 18.6961 0.06975
58373.3640394 1 18.4103 0.0864784
58370.3468403 1 18.2062 0.0538766
58367.2988542 1 18.0224 0.0492537
58364.2689931 1 17.8129 0.058605
58361.3949653 1 17.7979 0.0482168
58352.3815972 1 18.657 0.0803073
58349.358831 1 19.6987 0.162999
58346.3510417 1 19.9372 0.184567
