ZTF20aavqfli 0.066400 Ia
58985.1886458 1 18.3052 0.0612845
58980.1923611 1 18.0591 0.0580406
58974.1897685 1 17.8459 0.0609301
58968.232037 1 18.1772 0.0671725
58967.2434028 1 18.3098 0.086665
58965.248287 1 18.6305 0.0769308
58965.2102083 1 18.6312 0.0759491
58963.2286458 1 19.2123 0.089475
58962.2464583 1 19.5533 0.130687
